date,sex,industry_sic2007,decil_group,contents,year,value
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average contractual working hours per week (hours),2020,20.8
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average contractual working hours per week (hours),2021,21
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 2,Average contractual working hours per week (hours),2022,20.9
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average monthly earnings (NOK),2016,25480
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average monthly earnings (NOK),2017,26100
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average monthly earnings (NOK),2018,27080
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average monthly earnings (NOK),2019,28190
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average monthly earnings (NOK),2020,29420
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average monthly earnings (NOK),2021,30600
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average monthly earnings (NOK),2022,31990
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average monthly earnings (per cent),2016,7.2
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average monthly earnings (per cent),2017,7
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average monthly earnings (per cent),2018,7.1
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average monthly earnings (per cent),2019,7.1
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average monthly earnings (per cent),2020,7
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average monthly earnings (per cent),2021,7
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average monthly earnings (per cent),2022,6.9
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Boundaries monthly earnings (NOK),2016,26790
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Boundaries monthly earnings (NOK),2017,27600
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Boundaries monthly earnings (NOK),2018,28570
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Boundaries monthly earnings (NOK),2019,29770
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Boundaries monthly earnings (NOK),2020,30960
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Boundaries monthly earnings (NOK),2021,32480
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Boundaries monthly earnings (NOK),2022,33740
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average age (years),2016,36.8
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average age (years),2017,36.3
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average age (years),2018,36.7
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average age (years),2019,37.3
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average age (years),2020,37.9
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average age (years),2021,38.4
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average age (years),2022,38.7
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average contractual working hours per week (hours),2016,20.9
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average contractual working hours per week (hours),2017,21.9
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average contractual working hours per week (hours),2018,22.3
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average contractual working hours per week (hours),2019,22.3
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average contractual working hours per week (hours),2020,22.1
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average contractual working hours per week (hours),2021,20.4
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 3,Average contractual working hours per week (hours),2022,19.2
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average monthly earnings (NOK),2016,28040
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average monthly earnings (NOK),2017,28900
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average monthly earnings (NOK),2018,29910
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average monthly earnings (NOK),2019,31210
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average monthly earnings (NOK),2020,32490
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average monthly earnings (NOK),2021,33900
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average monthly earnings (NOK),2022,35780
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average monthly earnings (per cent),2016,7.9
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average monthly earnings (per cent),2017,7.8
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average monthly earnings (per cent),2018,7.8
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average monthly earnings (per cent),2019,7.8
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average monthly earnings (per cent),2020,7.8
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average monthly earnings (per cent),2021,7.7
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average monthly earnings (per cent),2022,7.7
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Boundaries monthly earnings (NOK),2016,29230
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Boundaries monthly earnings (NOK),2017,30040
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Boundaries monthly earnings (NOK),2018,31370
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Boundaries monthly earnings (NOK),2019,32480
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Boundaries monthly earnings (NOK),2020,34060
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Boundaries monthly earnings (NOK),2021,35720
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Boundaries monthly earnings (NOK),2022,37800
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average age (years),2016,38
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average age (years),2017,40
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average age (years),2018,39.4
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average age (years),2019,38.4
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average age (years),2020,39.5
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average age (years),2021,39.5
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average age (years),2022,39.5
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average contractual working hours per week (hours),2016,23.1
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average contractual working hours per week (hours),2017,23.2
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average contractual working hours per week (hours),2018,23.4
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average contractual working hours per week (hours),2019,23.2
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average contractual working hours per week (hours),2020,21.9
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average contractual working hours per week (hours),2021,22.8
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 4,Average contractual working hours per week (hours),2022,24.1
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average monthly earnings (NOK),2016,30510
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average monthly earnings (NOK),2017,31620
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average monthly earnings (NOK),2018,32740
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average monthly earnings (NOK),2019,34080
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average monthly earnings (NOK),2020,35770
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average monthly earnings (NOK),2021,37810
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average monthly earnings (NOK),2022,40000
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average monthly earnings (per cent),2016,8.6
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average monthly earnings (per cent),2017,8.5
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average monthly earnings (per cent),2018,8.5
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average monthly earnings (per cent),2019,8.6
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average monthly earnings (per cent),2020,8.5
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average monthly earnings (per cent),2021,8.6
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average monthly earnings (per cent),2022,8.6
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Boundaries monthly earnings (NOK),2016,32040
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Boundaries monthly earnings (NOK),2017,32790
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Boundaries monthly earnings (NOK),2018,34140
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Boundaries monthly earnings (NOK),2019,35720
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Boundaries monthly earnings (NOK),2020,37630
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Boundaries monthly earnings (NOK),2021,40000
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Boundaries monthly earnings (NOK),2022,42010
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average age (years),2016,40.4
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average age (years),2017,39.7
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average age (years),2018,39.8
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average age (years),2019,40.5
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average age (years),2020,39.5
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average age (years),2021,39.4
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average age (years),2022,39.6
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average contractual working hours per week (hours),2016,25.8
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average contractual working hours per week (hours),2017,23.3
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average contractual working hours per week (hours),2018,23.9
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average contractual working hours per week (hours),2019,26.3
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average contractual working hours per week (hours),2020,28.1
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average contractual working hours per week (hours),2021,27.9
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 5,Average contractual working hours per week (hours),2022,27
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average monthly earnings (NOK),2016,33240
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average monthly earnings (NOK),2017,34510
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average monthly earnings (NOK),2018,35980
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average monthly earnings (NOK),2019,37790
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average monthly earnings (NOK),2020,39830
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average monthly earnings (NOK),2021,41970
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average monthly earnings (NOK),2022,44510
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average monthly earnings (per cent),2016,9.3
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average monthly earnings (per cent),2017,9.3
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average monthly earnings (per cent),2018,9.4
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average monthly earnings (per cent),2019,9.5
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average monthly earnings (per cent),2020,9.5
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average monthly earnings (per cent),2021,9.6
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average monthly earnings (per cent),2022,9.6
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Boundaries monthly earnings (NOK),2016,35000
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Boundaries monthly earnings (NOK),2017,36390
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Boundaries monthly earnings (NOK),2018,38000
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Boundaries monthly earnings (NOK),2019,40000
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Boundaries monthly earnings (NOK),2020,41840
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Boundaries monthly earnings (NOK),2021,44390
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Boundaries monthly earnings (NOK),2022,46910
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average age (years),2016,39.5
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average age (years),2017,38.9
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average age (years),2018,39.7
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average age (years),2019,39.3
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average age (years),2020,40.1
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average age (years),2021,40.2
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average age (years),2022,38.8
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average contractual working hours per week (hours),2016,25
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average contractual working hours per week (hours),2017,29
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average contractual working hours per week (hours),2018,30
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average contractual working hours per week (hours),2019,30.3
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average contractual working hours per week (hours),2020,29.3
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average contractual working hours per week (hours),2021,29.2
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 6,Average contractual working hours per week (hours),2022,30.8
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average monthly earnings (NOK),2016,37010
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average monthly earnings (NOK),2017,38640
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average monthly earnings (NOK),2018,40140
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average monthly earnings (NOK),2019,42030
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average monthly earnings (NOK),2020,44290
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average monthly earnings (NOK),2021,46700
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average monthly earnings (NOK),2022,49250
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average monthly earnings (per cent),2016,10.4
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average monthly earnings (per cent),2017,10.4
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average monthly earnings (per cent),2018,10.5
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average monthly earnings (per cent),2019,10.6
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average monthly earnings (per cent),2020,10.6
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average monthly earnings (per cent),2021,10.7
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average monthly earnings (per cent),2022,10.6
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Boundaries monthly earnings (NOK),2016,39230
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Boundaries monthly earnings (NOK),2017,40600
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Boundaries monthly earnings (NOK),2018,42400
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Boundaries monthly earnings (NOK),2019,44540
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Boundaries monthly earnings (NOK),2020,46730
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Boundaries monthly earnings (NOK),2021,49020
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Boundaries monthly earnings (NOK),2022,51640
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average age (years),2016,40.7
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average age (years),2017,40.9
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average age (years),2018,40.1
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average age (years),2019,40.5
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average age (years),2020,39.7
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average age (years),2021,39.9
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average age (years),2022,39.9
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average contractual working hours per week (hours),2016,30.6
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average contractual working hours per week (hours),2017,30.8
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average contractual working hours per week (hours),2018,31
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average contractual working hours per week (hours),2019,30.7
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average contractual working hours per week (hours),2020,33.5
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average contractual working hours per week (hours),2021,32.1
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 7,Average contractual working hours per week (hours),2022,32
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 8,Average monthly earnings (NOK),2016,41410
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 8,Average monthly earnings (NOK),2017,43280
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 8,Average monthly earnings (NOK),2018,45200
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 8,Average monthly earnings (NOK),2019,47150
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 8,Average monthly earnings (NOK),2020,49300
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 8,Average monthly earnings (NOK),2021,51630
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 8,Average monthly earnings (NOK),2022,54570
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 8,Average monthly earnings (per cent),2016,11.6
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 8,Average monthly earnings (per cent),2017,11.7
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 8,Average monthly earnings (per cent),2018,11.8
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 8,Average monthly earnings (per cent),2019,11.8
2020-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 8,Average monthly earnings (per cent),2020,11.8
2021-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 8,Average monthly earnings (per cent),2021,11.8
2022-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 8,Average monthly earnings (per cent),2022,11.8
2016-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 8,Boundaries monthly earnings (NOK),2016,43900
2017-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 8,Boundaries monthly earnings (NOK),2017,45870
2018-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 8,Boundaries monthly earnings (NOK),2018,48220
2019-12-31,Both sexes,"Agriculture, forestry and fishing",Decile 8,Boundaries monthly earnings (NOK),2019,50000
