year,industryparentname,Wages and salaries (NOK million),Compensation of employees (NOK million),Employed persons. Employees (1000 persons),Total hours worked for employees (million workhours),parentcode_indus,date
2014,Real estate activities,13104,15872,23.6,34.2,L,2014-12-31
2015,Real estate activities,13981,16882,24.3,35.4,L,2015-12-31
2016,Real estate activities,14629,17610,25,36.6,L,2016-12-31
2017,Real estate activities,15345,18515,25.9,37.3,L,2017-12-31
2013,"Professional, scientific and technical activities",69472,84629,117,181.9,M,2013-12-31
2014,"Professional, scientific and technical activities",72817,88735,119.4,185.6,M,2014-12-31
2015,"Professional, scientific and technical activities",75431,91663,120.5,188.3,M,2015-12-31
2016,"Professional, scientific and technical activities",74611,90765,119.2,185.1,M,2016-12-31
2017,"Professional, scientific and technical activities",76613,93110,120.6,185.3,M,2017-12-31
2013,Administrative and support service activities,46868,55755,120,169.10000000000002,N,2013-12-31
2014,Administrative and support service activities,48480,57663,121.3,170.9,N,2014-12-31
2015,Administrative and support service activities,47947,56929,117.5,165.9,N,2015-12-31
2016,Administrative and support service activities,48091,57070,117.9,165.3,N,2016-12-31
2017,Administrative and support service activities,51355,60860,124.6,172.7,N,2017-12-31
2013,Public administration and defence; compulsory social security,86635,113435,184.2,278,O,2013-12-31
2014,Public administration and defence; compulsory social security,91490,120923,186.5,284.2,O,2014-12-31
2015,Public administration and defence; compulsory social security,96431,126277,190.8,292,O,2015-12-31
2016,Public administration and defence; compulsory social security,100671,130887,193.4,298.4,O,2016-12-31
2017,Public administration and defence; compulsory social security,103915,136504,196,297.6,O,2017-12-31
2013,Education,84826,107321,202.8,276.4,P,2013-12-31
2014,Education,87733,111105,205,278.7,P,2014-12-31
2015,Education,91581,116463,206.4,281.9,P,2015-12-31
2016,Education,95366,122167,209.4,288.3,P,2016-12-31
2017,Education,99118,127096,213.1,292.2,P,2017-12-31
2013,Human health and social work activities,187457,241226,535.8,647.5,Q,2013-12-31
2014,Human health and social work activities,196501,254666,542.7,658.9,Q,2014-12-31
2015,Human health and social work activities,205610,267706,549.8,669.9000000000001,Q,2015-12-31
2016,Human health and social work activities,214542,277695,557.4,685.9,Q,2016-12-31
2017,Human health and social work activities,224178,290702,562.8000000000001,693.3,Q,2017-12-31
2013,"Arts, entertainment and recreation",11512,16518,33.300000000000004,46.3,R,2013-12-31
2014,"Arts, entertainment and recreation",12032,17289,34,47.2,R,2014-12-31
2015,"Arts, entertainment and recreation",12420,17868,34,47.4,R,2015-12-31
2016,"Arts, entertainment and recreation",13142,16730,35.9,49.900000000000006,R,2016-12-31
2017,"Arts, entertainment and recreation",13926,17386,37.7,51.7,R,2017-12-31
2013,Other service activities,14847,18230,39.4,53.4,S,2013-12-31
2014,Other service activities,15409,18876,40,54.1,S,2014-12-31
2015,Other service activities,15723,19207,39.7,54,S,2015-12-31
2016,Other service activities,16517,20548,40.4,55.2,S,2016-12-31
2017,Other service activities,17331,21523,41.2,56,S,2017-12-31
2013,Activities of household as employers; undifferentiated goods- and services-producing activities of households for own account,139,472,3.2,2.4,T,2013-12-31
2014,Activities of household as employers; undifferentiated goods- and services-producing activities of households for own account,150,511,3.4,2.6,T,2014-12-31
2015,Activities of household as employers; undifferentiated goods- and services-producing activities of households for own account,154,523,3.3,2.6,T,2015-12-31
2016,Activities of household as employers; undifferentiated goods- and services-producing activities of households for own account,161,190,3.3,2.5,T,2016-12-31
2017,Activities of household as employers; undifferentiated goods- and services-producing activities of households for own account,189,223,3.6,2.7,T,2017-12-31
