sex,industry_sic2007,decil_group,contents,year,value
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average age (years),2016,43.8
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average age (years),2017,44
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average age (years),2018,43.3
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average age (years),2019,42
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average age (years),2020,43.3
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average age (years),2021,43.9
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average age (years),2022,43.5
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average contractual working hours per week (hours),2016,35.1
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average contractual working hours per week (hours),2017,35.4
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average contractual working hours per week (hours),2018,33.9
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average contractual working hours per week (hours),2019,34.7
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average contractual working hours per week (hours),2020,35.3
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average contractual working hours per week (hours),2021,33.9
Both sexes,"Agriculture, forestry and fishing",Percentile 92,Average contractual working hours per week (hours),2022,34
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average monthly earnings (NOK),2016,56630
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average monthly earnings (NOK),2017,59270
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average monthly earnings (NOK),2018,62230
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average monthly earnings (NOK),2019,64060
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average monthly earnings (NOK),2020,66730
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average monthly earnings (NOK),2021,70370
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average monthly earnings (NOK),2022,74820
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average monthly earnings (per cent),2016,1.6
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average monthly earnings (per cent),2017,1.6
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average monthly earnings (per cent),2018,1.6
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average monthly earnings (per cent),2019,1.6
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average monthly earnings (per cent),2020,1.6
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average monthly earnings (per cent),2021,1.6
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average monthly earnings (per cent),2022,1.6
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Boundaries monthly earnings (NOK),2016,57660
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Boundaries monthly earnings (NOK),2017,60000
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Boundaries monthly earnings (NOK),2018,63480
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Boundaries monthly earnings (NOK),2019,65330
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Boundaries monthly earnings (NOK),2020,67910
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Boundaries monthly earnings (NOK),2021,71490
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Boundaries monthly earnings (NOK),2022,76110
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average age (years),2016,42
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average age (years),2017,44
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average age (years),2018,43.6
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average age (years),2019,43.8
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average age (years),2020,44.1
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average age (years),2021,44.5
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average age (years),2022,45
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average contractual working hours per week (hours),2016,34.7
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average contractual working hours per week (hours),2017,35.4
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average contractual working hours per week (hours),2018,34.4
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average contractual working hours per week (hours),2019,34.8
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average contractual working hours per week (hours),2020,34.4
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average contractual working hours per week (hours),2021,35.3
Both sexes,"Agriculture, forestry and fishing",Percentile 93,Average contractual working hours per week (hours),2022,34.9
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average monthly earnings (NOK),2016,58940
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average monthly earnings (NOK),2017,61260
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average monthly earnings (NOK),2018,64880
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average monthly earnings (NOK),2019,66530
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average monthly earnings (NOK),2020,69090
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average monthly earnings (NOK),2021,73090
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average monthly earnings (NOK),2022,77700
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average monthly earnings (per cent),2016,1.7
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average monthly earnings (per cent),2017,1.7
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average monthly earnings (per cent),2018,1.7
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average monthly earnings (per cent),2019,1.7
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average monthly earnings (per cent),2020,1.6
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average monthly earnings (per cent),2021,1.7
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average monthly earnings (per cent),2022,1.7
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Boundaries monthly earnings (NOK),2016,60000
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Boundaries monthly earnings (NOK),2017,62500
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Boundaries monthly earnings (NOK),2018,66000
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Boundaries monthly earnings (NOK),2019,67910
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Boundaries monthly earnings (NOK),2020,70120
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Boundaries monthly earnings (NOK),2021,74630
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Boundaries monthly earnings (NOK),2022,79170
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average age (years),2016,44.8
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average age (years),2017,43.7
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average age (years),2018,42.7
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average age (years),2019,44.2
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average age (years),2020,46.5
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average age (years),2021,44.8
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average age (years),2022,45.9
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average contractual working hours per week (hours),2016,35.2
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average contractual working hours per week (hours),2017,34.3
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average contractual working hours per week (hours),2018,35.2
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average contractual working hours per week (hours),2019,34.4
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average contractual working hours per week (hours),2020,35.5
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average contractual working hours per week (hours),2021,35.5
Both sexes,"Agriculture, forestry and fishing",Percentile 94,Average contractual working hours per week (hours),2022,35.2
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average monthly earnings (NOK),2016,61080
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average monthly earnings (NOK),2017,63960
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average monthly earnings (NOK),2018,67310
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average monthly earnings (NOK),2019,69210
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average monthly earnings (NOK),2020,71520
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average monthly earnings (NOK),2021,75700
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average monthly earnings (NOK),2022,80640
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average monthly earnings (per cent),2016,1.7
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average monthly earnings (per cent),2017,1.7
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average monthly earnings (per cent),2018,1.8
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average monthly earnings (per cent),2019,1.7
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average monthly earnings (per cent),2020,1.7
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average monthly earnings (per cent),2021,1.7
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average monthly earnings (per cent),2022,1.7
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Boundaries monthly earnings (NOK),2016,62400
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Boundaries monthly earnings (NOK),2017,65640
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Boundaries monthly earnings (NOK),2018,68750
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Boundaries monthly earnings (NOK),2019,70540
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Boundaries monthly earnings (NOK),2020,73060
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Boundaries monthly earnings (NOK),2021,77390
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Boundaries monthly earnings (NOK),2022,82170
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average age (years),2016,43.9
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average age (years),2017,44.1
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average age (years),2018,44.9
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average age (years),2019,45.7
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average age (years),2020,45.5
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average age (years),2021,46
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average age (years),2022,46.2
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average contractual working hours per week (hours),2016,33.9
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average contractual working hours per week (hours),2017,34.3
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average contractual working hours per week (hours),2018,35.2
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average contractual working hours per week (hours),2019,35.2
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average contractual working hours per week (hours),2020,35.4
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average contractual working hours per week (hours),2021,35.6
Both sexes,"Agriculture, forestry and fishing",Percentile 95,Average contractual working hours per week (hours),2022,34.7
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average monthly earnings (NOK),2016,63630
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average monthly earnings (NOK),2017,66860
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average monthly earnings (NOK),2018,70140
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average monthly earnings (NOK),2019,71890
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average monthly earnings (NOK),2020,75060
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average monthly earnings (NOK),2021,79080
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average monthly earnings (NOK),2022,83950
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average monthly earnings (per cent),2016,1.8
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average monthly earnings (per cent),2017,1.8
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average monthly earnings (per cent),2018,1.8
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average monthly earnings (per cent),2019,1.8
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average monthly earnings (per cent),2020,1.8
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average monthly earnings (per cent),2021,1.8
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average monthly earnings (per cent),2022,1.8
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Boundaries monthly earnings (NOK),2016,65000
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Boundaries monthly earnings (NOK),2017,68340
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Boundaries monthly earnings (NOK),2018,71550
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Boundaries monthly earnings (NOK),2019,73430
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Boundaries monthly earnings (NOK),2020,76970
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Boundaries monthly earnings (NOK),2021,80910
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Boundaries monthly earnings (NOK),2022,86100
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average age (years),2016,45.9
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average age (years),2017,43.8
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average age (years),2018,46.1
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average age (years),2019,46.2
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average age (years),2020,47.5
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average age (years),2021,46.1
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average age (years),2022,45.3
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average contractual working hours per week (hours),2016,36
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average contractual working hours per week (hours),2017,34.8
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average contractual working hours per week (hours),2018,34.8
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average contractual working hours per week (hours),2019,35.8
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average contractual working hours per week (hours),2020,34.6
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average contractual working hours per week (hours),2021,35.8
Both sexes,"Agriculture, forestry and fishing",Percentile 96,Average contractual working hours per week (hours),2022,35.4
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average monthly earnings (NOK),2016,66670
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average monthly earnings (NOK),2017,70050
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average monthly earnings (NOK),2018,73670
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average monthly earnings (NOK),2019,75410
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average monthly earnings (NOK),2020,79570
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average monthly earnings (NOK),2021,83680
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average monthly earnings (NOK),2022,89000
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average monthly earnings (per cent),2016,1.9
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average monthly earnings (per cent),2017,1.9
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average monthly earnings (per cent),2018,1.9
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average monthly earnings (per cent),2019,1.9
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average monthly earnings (per cent),2020,1.9
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average monthly earnings (per cent),2021,1.9
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average monthly earnings (per cent),2022,1.9
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Boundaries monthly earnings (NOK),2016,69040
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Boundaries monthly earnings (NOK),2017,71990
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Boundaries monthly earnings (NOK),2018,75860
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Boundaries monthly earnings (NOK),2019,77890
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Boundaries monthly earnings (NOK),2020,82950
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Boundaries monthly earnings (NOK),2021,86850
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Boundaries monthly earnings (NOK),2022,92570
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average age (years),2016,46.2
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average age (years),2017,46.7
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average age (years),2018,45.3
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average age (years),2019,46.4
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average age (years),2020,45.6
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average age (years),2021,46.7
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average age (years),2022,46.9
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average contractual working hours per week (hours),2016,34.4
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average contractual working hours per week (hours),2017,35.7
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average contractual working hours per week (hours),2018,34.7
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average contractual working hours per week (hours),2019,35.4
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average contractual working hours per week (hours),2020,33.2
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average contractual working hours per week (hours),2021,33.5
Both sexes,"Agriculture, forestry and fishing",Percentile 97,Average contractual working hours per week (hours),2022,34.4
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average monthly earnings (NOK),2016,71850
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average monthly earnings (NOK),2017,75060
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average monthly earnings (NOK),2018,78950
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average monthly earnings (NOK),2019,81280
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average monthly earnings (NOK),2020,86880
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average monthly earnings (NOK),2021,91460
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average monthly earnings (NOK),2022,97400
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average monthly earnings (per cent),2016,2
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average monthly earnings (per cent),2017,2
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average monthly earnings (per cent),2018,2.1
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average monthly earnings (per cent),2019,2
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average monthly earnings (per cent),2020,2.1
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average monthly earnings (per cent),2021,2.1
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average monthly earnings (per cent),2022,2.1
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Boundaries monthly earnings (NOK),2016,75460
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Boundaries monthly earnings (NOK),2017,78670
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Boundaries monthly earnings (NOK),2018,83000
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Boundaries monthly earnings (NOK),2019,85000
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Boundaries monthly earnings (NOK),2020,92480
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Boundaries monthly earnings (NOK),2021,97150
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Boundaries monthly earnings (NOK),2022,102850
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average age (years),2016,45.2
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average age (years),2017,46.3
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average age (years),2018,46.7
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average age (years),2019,46.4
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average age (years),2020,47
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average age (years),2021,47.5
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average age (years),2022,47.6
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average contractual working hours per week (hours),2016,34
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average contractual working hours per week (hours),2017,34.3
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average contractual working hours per week (hours),2018,34.4
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average contractual working hours per week (hours),2019,34.5
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average contractual working hours per week (hours),2020,34.2
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average contractual working hours per week (hours),2021,34.8
Both sexes,"Agriculture, forestry and fishing",Percentile 98,Average contractual working hours per week (hours),2022,34
Both sexes,"Agriculture, forestry and fishing",Percentile 99,Average monthly earnings (NOK),2016,81860
Both sexes,"Agriculture, forestry and fishing",Percentile 99,Average monthly earnings (NOK),2017,85750
Both sexes,"Agriculture, forestry and fishing",Percentile 99,Average monthly earnings (NOK),2018,89420
Both sexes,"Agriculture, forestry and fishing",Percentile 99,Average monthly earnings (NOK),2019,91690
Both sexes,"Agriculture, forestry and fishing",Percentile 99,Average monthly earnings (NOK),2020,100890
Both sexes,"Agriculture, forestry and fishing",Percentile 99,Average monthly earnings (NOK),2021,105350
Both sexes,"Agriculture, forestry and fishing",Percentile 99,Average monthly earnings (NOK),2022,112280
Both sexes,"Agriculture, forestry and fishing",Percentile 99,Average monthly earnings (per cent),2016,2.3
Both sexes,"Agriculture, forestry and fishing",Percentile 99,Average monthly earnings (per cent),2017,2.3
Both sexes,"Agriculture, forestry and fishing",Percentile 99,Average monthly earnings (per cent),2018,2.3
Both sexes,"Agriculture, forestry and fishing",Percentile 99,Average monthly earnings (per cent),2019,2.3
Both sexes,"Agriculture, forestry and fishing",Percentile 99,Average monthly earnings (per cent),2020,2.4
Both sexes,"Agriculture, forestry and fishing",Percentile 99,Average monthly earnings (per cent),2021,2.4
Both sexes,"Agriculture, forestry and fishing",Percentile 99,Average monthly earnings (per cent),2022,2.4
Both sexes,"Agriculture, forestry and fishing",Percentile 99,Boundaries monthly earnings (NOK),2016,90000
Both sexes,"Agriculture, forestry and fishing",Percentile 99,Boundaries monthly earnings (NOK),2017,95830
Both sexes,"Agriculture, forestry and fishing",Percentile 99,Boundaries monthly earnings (NOK),2018,100000
