date,sex,industry_sic2007,year,employees_covered_by_the_survey,lower_quartile_nok,median_nok,mean_nok,upper_quartile_nok,parentname
2008-12-31,Females,Construction,2008,4101,27000,30500,32900,36200,Construction
2009-12-31,Females,Construction,2009,4074,27300,31500,33700,37500,Construction
2010-12-31,Females,Construction,2010,4615,28400,32600,35400,39400,Construction
2011-12-31,Females,Construction,2011,4918,30000,34500,37000,41100,Construction
2012-12-31,Females,Construction,2012,5313,30700,36000,38000,42800,Construction
2013-12-31,Females,Construction,2013,5357,31600,37100,39600,44500,Construction
2014-12-31,Females,Construction,2014,5808,32300,38000,40500,45800,Construction
2015-12-31,Females,Construction,2015,6068,33400,40000,42300,48000,Construction
2008-12-31,Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,2008,93870,25000,29700,33200,37000,Wholesale and retail trade; repair of motor vehicles and motorcycles
2009-12-31,Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,2009,99607,25500,30100,33900,37600,Wholesale and retail trade; repair of motor vehicles and motorcycles
2010-12-31,Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,2010,101454,26300,31000,35100,38800,Wholesale and retail trade; repair of motor vehicles and motorcycles
2011-12-31,Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,2011,100088,27100,32100,36200,40000,Wholesale and retail trade; repair of motor vehicles and motorcycles
2012-12-31,Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,2012,102323,28100,33200,37400,41700,Wholesale and retail trade; repair of motor vehicles and motorcycles
2013-12-31,Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,2013,106240,29100,34400,38700,43000,Wholesale and retail trade; repair of motor vehicles and motorcycles
2014-12-31,Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,2014,107630,29800,35100,39300,43800,Wholesale and retail trade; repair of motor vehicles and motorcycles
2015-12-31,Both sexes,Wholesale and retail trade: repair of motor vehicles and motorcycles,2015,103843,30800,36500,40600,45500,Wholesale and retail trade; repair of motor vehicles and motorcycles
2008-12-31,Males,Wholesale and retail trade: repair of motor vehicles and motorcycles,2008,59353,26300,31100,35000,39200,Wholesale and retail trade; repair of motor vehicles and motorcycles
2009-12-31,Males,Wholesale and retail trade: repair of motor vehicles and motorcycles,2009,63271,26600,31700,35800,40000,Wholesale and retail trade; repair of motor vehicles and motorcycles
2010-12-31,Males,Wholesale and retail trade: repair of motor vehicles and motorcycles,2010,63833,27500,32500,36900,40900,Wholesale and retail trade; repair of motor vehicles and motorcycles
2011-12-31,Males,Wholesale and retail trade: repair of motor vehicles and motorcycles,2011,62333,28400,33600,38200,42100,Wholesale and retail trade; repair of motor vehicles and motorcycles
2012-12-31,Males,Wholesale and retail trade: repair of motor vehicles and motorcycles,2012,63377,29300,35000,39500,44300,Wholesale and retail trade; repair of motor vehicles and motorcycles
2013-12-31,Males,Wholesale and retail trade: repair of motor vehicles and motorcycles,2013,66187,30100,36000,40800,45500,Wholesale and retail trade; repair of motor vehicles and motorcycles
2014-12-31,Males,Wholesale and retail trade: repair of motor vehicles and motorcycles,2014,66433,30900,36900,41400,46400,Wholesale and retail trade; repair of motor vehicles and motorcycles
2015-12-31,Males,Wholesale and retail trade: repair of motor vehicles and motorcycles,2015,64995,32200,38400,43000,48300,Wholesale and retail trade; repair of motor vehicles and motorcycles
2008-12-31,Females,Wholesale and retail trade: repair of motor vehicles and motorcycles,2008,34517,23600,26800,29400,32300,Wholesale and retail trade; repair of motor vehicles and motorcycles
2009-12-31,Females,Wholesale and retail trade: repair of motor vehicles and motorcycles,2009,36336,24300,27400,30100,33300,Wholesale and retail trade; repair of motor vehicles and motorcycles
2010-12-31,Females,Wholesale and retail trade: repair of motor vehicles and motorcycles,2010,37621,25100,28400,31300,34500,Wholesale and retail trade; repair of motor vehicles and motorcycles
2011-12-31,Females,Wholesale and retail trade: repair of motor vehicles and motorcycles,2011,37755,25900,29400,32600,35900,Wholesale and retail trade; repair of motor vehicles and motorcycles
2012-12-31,Females,Wholesale and retail trade: repair of motor vehicles and motorcycles,2012,38946,27000,30300,33400,37000,Wholesale and retail trade; repair of motor vehicles and motorcycles
2013-12-31,Females,Wholesale and retail trade: repair of motor vehicles and motorcycles,2013,40053,27600,31500,34800,38500,Wholesale and retail trade; repair of motor vehicles and motorcycles
2014-12-31,Females,Wholesale and retail trade: repair of motor vehicles and motorcycles,2014,41197,28200,32100,35300,39300,Wholesale and retail trade; repair of motor vehicles and motorcycles
2015-12-31,Females,Wholesale and retail trade: repair of motor vehicles and motorcycles,2015,38848,28800,33300,36400,40500,Wholesale and retail trade; repair of motor vehicles and motorcycles
2008-12-31,Both sexes,Transportation and storage,2008,66258,26200,30400,34300,38200,Transportation and storage
2009-12-31,Both sexes,Transportation and storage,2009,67218,26800,30800,35500,39600,Transportation and storage
2010-12-31,Both sexes,Transportation and storage,2010,67107,28000,32200,36700,41400,Transportation and storage
2011-12-31,Both sexes,Transportation and storage,2011,65985,28700,33100,38000,42800,Transportation and storage
2012-12-31,Both sexes,Transportation and storage,2012,67925,29800,34300,39300,44400,Transportation and storage
2013-12-31,Both sexes,Transportation and storage,2013,70188,30500,35300,40600,47000,Transportation and storage
2014-12-31,Both sexes,Transportation and storage,2014,70325,31500,36400,41900,48100,Transportation and storage
2015-12-31,Both sexes,Transportation and storage,2015,69657,32600,37800,43400,50400,Transportation and storage
2008-12-31,Males,Transportation and storage,2008,50955,26200,31000,35000,39300,Transportation and storage
2009-12-31,Males,Transportation and storage,2009,52107,26800,31300,36200,40900,Transportation and storage
2010-12-31,Males,Transportation and storage,2010,52250,28000,32800,37400,42600,Transportation and storage
2011-12-31,Males,Transportation and storage,2011,51099,28600,33700,38700,44000,Transportation and storage
2012-12-31,Males,Transportation and storage,2012,52647,29600,34700,40000,45600,Transportation and storage
2013-12-31,Males,Transportation and storage,2013,55064,30400,35800,41400,48600,Transportation and storage
2014-12-31,Males,Transportation and storage,2014,55863,31400,36800,42600,49700,Transportation and storage
2015-12-31,Males,Transportation and storage,2015,55499,32600,38100,44000,51700,Transportation and storage
2008-12-31,Females,Transportation and storage,2008,15303,26200,28700,31300,34400,Transportation and storage
2009-12-31,Females,Transportation and storage,2009,15111,26900,29500,32400,35400,Transportation and storage
2010-12-31,Females,Transportation and storage,2010,14857,27800,30300,33500,36600,Transportation and storage
2011-12-31,Females,Transportation and storage,2011,14886,28900,31700,35000,38200,Transportation and storage
2012-12-31,Females,Transportation and storage,2012,15278,30000,33100,36500,40100,Transportation and storage
2013-12-31,Females,Transportation and storage,2013,15124,30800,34100,37200,41000,Transportation and storage
2014-12-31,Females,Transportation and storage,2014,14462,31900,35500,38900,43000,Transportation and storage
2015-12-31,Females,Transportation and storage,2015,14158,32800,36800,40400,45200,Transportation and storage
2008-12-31,Both sexes,Accommodation and food service activities,2008,13278,21700,25000,27300,30200,Accommodation and food service activities
2009-12-31,Both sexes,Accommodation and food service activities,2009,14333,22600,25700,28100,31400,Accommodation and food service activities
2010-12-31,Both sexes,Accommodation and food service activities,2010,14950,23100,26400,29000,32500,Accommodation and food service activities
2011-12-31,Both sexes,Accommodation and food service activities,2011,15894,23800,27000,29700,33500,Accommodation and food service activities
2012-12-31,Both sexes,Accommodation and food service activities,2012,17259,24200,27800,30500,34900,Accommodation and food service activities
2013-12-31,Both sexes,Accommodation and food service activities,2013,18279,24700,28200,31200,35000,Accommodation and food service activities
2014-12-31,Both sexes,Accommodation and food service activities,2014,20404,25100,28900,31800,35300,Accommodation and food service activities
2015-12-31,Both sexes,Accommodation and food service activities,2015,22338,25000,29300,32400,35800,Accommodation and food service activities
2008-12-31,Males,Accommodation and food service activities,2008,6376,22100,25900,28600,32000,Accommodation and food service activities
2009-12-31,Males,Accommodation and food service activities,2009,7129,22900,26600,29200,33000,Accommodation and food service activities
2010-12-31,Males,Accommodation and food service activities,2010,7425,23600,27500,30400,35000,Accommodation and food service activities
2011-12-31,Males,Accommodation and food service activities,2011,7887,24200,28000,31000,35000,Accommodation and food service activities
2012-12-31,Males,Accommodation and food service activities,2012,8624,24500,28600,31500,35500,Accommodation and food service activities
2013-12-31,Males,Accommodation and food service activities,2013,9062,25000,29200,32400,37000,Accommodation and food service activities
2014-12-31,Males,Accommodation and food service activities,2014,10227,25500,29800,32900,37100,Accommodation and food service activities
2015-12-31,Males,Accommodation and food service activities,2015,11014,25700,30000,33900,38000,Accommodation and food service activities
2008-12-31,Females,Accommodation and food service activities,2008,6902,21400,24100,26100,29100,Accommodation and food service activities
2009-12-31,Females,Accommodation and food service activities,2009,7204,22300,25000,27000,30000,Accommodation and food service activities
2010-12-31,Females,Accommodation and food service activities,2010,7525,22700,25400,27600,30400,Accommodation and food service activities
2011-12-31,Females,Accommodation and food service activities,2011,8007,23500,26200,28400,31800,Accommodation and food service activities
2012-12-31,Females,Accommodation and food service activities,2012,8635,23900,27000,29300,32800,Accommodation and food service activities
2013-12-31,Females,Accommodation and food service activities,2013,9217,24400,27600,30000,33300,Accommodation and food service activities
2014-12-31,Females,Accommodation and food service activities,2014,10177,25000,28200,30800,34300,Accommodation and food service activities
2015-12-31,Females,Accommodation and food service activities,2015,11324,24600,28600,30800,34300,Accommodation and food service activities
2008-12-31,Both sexes,Information and communication,2008,43974,32700,40000,43800,50400,Information and communication
2009-12-31,Both sexes,Information and communication,2009,46187,33500,41000,45000,52000,Information and communication
2010-12-31,Both sexes,Information and communication,2010,48413,35000,42900,47100,54200,Information and communication
2011-12-31,Both sexes,Information and communication,2011,46962,36300,44900,49500,57100,Information and communication
2012-12-31,Both sexes,Information and communication,2012,49959,37500,45900,50700,58300,Information and communication
2013-12-31,Both sexes,Information and communication,2013,49009,39200,48300,52800,60900,Information and communication
2014-12-31,Both sexes,Information and communication,2014,51604,40100,49800,54100,62600,Information and communication
2015-12-31,Both sexes,Information and communication,2015,49389,41100,50900,55700,64300,Information and communication
2008-12-31,Males,Information and communication,2008,30360,34600,42200,46200,53300,Information and communication
2009-12-31,Males,Information and communication,2009,31693,35300,43300,47400,54700,Information and communication
2010-12-31,Males,Information and communication,2010,33795,36700,45000,49400,56700,Information and communication
2011-12-31,Males,Information and communication,2011,32418,38100,47400,52000,60000,Information and communication
2012-12-31,Males,Information and communication,2012,34561,39200,48300,53000,61000,Information and communication
2013-12-31,Males,Information and communication,2013,34084,40900,50500,55100,63500,Information and communication
2014-12-31,Males,Information and communication,2014,35842,41900,52100,56500,65300,Information and communication
2015-12-31,Males,Information and communication,2015,34583,42700,53400,58000,66700,Information and communication
2008-12-31,Females,Information and communication,2008,13614,29700,35400,38300,43300,Information and communication
2009-12-31,Females,Information and communication,2009,14494,30500,36300,39500,44600,Information and communication
2010-12-31,Females,Information and communication,2010,14618,32000,37900,41400,46700,Information and communication
2011-12-31,Females,Information and communication,2011,14544,33500,39800,43400,48900,Information and communication
2012-12-31,Females,Information and communication,2012,15398,34600,41300,45000,50800,Information and communication
2013-12-31,Females,Information and communication,2013,14925,36300,43600,47200,53700,Information and communication
2014-12-31,Females,Information and communication,2014,15762,37500,44700,48500,55500,Information and communication
2015-12-31,Females,Information and communication,2015,14806,38300,45900,50000,57100,Information and communication
2008-12-31,Both sexes,Financial and insurance activities,2008,39166,31000,37900,49600,51700,Financial and insurance activities
2009-12-31,Both sexes,Financial and insurance activities,2009,38679,31500,38300,47700,52000,Financial and insurance activities
2010-12-31,Both sexes,Financial and insurance activities,2010,39315,33200,40400,50400,55000,Financial and insurance activities
2011-12-31,Both sexes,Financial and insurance activities,2011,39644,34700,42600,54000,58300,Financial and insurance activities
2012-12-31,Both sexes,Financial and insurance activities,2012,39789,36000,44300,54200,60000,Financial and insurance activities
2013-12-31,Both sexes,Financial and insurance activities,2013,39673,37600,46500,56700,63000,Financial and insurance activities
2014-12-31,Both sexes,Financial and insurance activities,2014,39100,38900,48300,59100,65500,Financial and insurance activities
2015-12-31,Both sexes,Financial and insurance activities,2015,39105,40100,49800,61400,67200,Financial and insurance activities
2008-12-31,Males,Financial and insurance activities,2008,20949,34500,44100,59000,60800,Financial and insurance activities
2009-12-31,Males,Financial and insurance activities,2009,20732,34900,44700,55600,60400,Financial and insurance activities
2010-12-31,Males,Financial and insurance activities,2010,20912,36700,46800,58800,63800,Financial and insurance activities
2011-12-31,Males,Financial and insurance activities,2011,21111,38200,49500,63000,68200,Financial and insurance activities
2012-12-31,Males,Financial and insurance activities,2012,21062,39900,51000,62700,68800,Financial and insurance activities
2013-12-31,Males,Financial and insurance activities,2013,21128,41700,53600,65200,72700,Financial and insurance activities
2014-12-31,Males,Financial and insurance activities,2014,20635,42800,55300,68300,75600,Financial and insurance activities
2015-12-31,Males,Financial and insurance activities,2015,20761,44000,56900,70700,77500,Financial and insurance activities
2008-12-31,Females,Financial and insurance activities,2008,18217,29100,33300,38500,41000,Financial and insurance activities
